City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Luderitz,NA,2022-05-04 23:42:44,-26.6481,15.1594,68.59,48,0,2.06
68,Puerto Ayora,EC,2022-05-04 23:42:44,-0.7393,-90.3518,80.56,88,48,5.75
69,Bon Accord,CA,2022-05-04 23:42:45,53.8335,-113.4187,63.23,58,99,6.49
70,Ilulissat,GL,2022-05-04 23:42:46,69.2167,-51.1,17.62,67,100,8.05
71,Novi Di Modena,IT,2022-05-04 23:42:46,44.8905,10.9014,57.36,91,63,1.66
72,Clyde River,CA,2022-05-04 23:42:47,70.4692,-68.5914,19.63,73,75,12.66
73,Kahului,US,2022-05-04 23:40:43,20.8947,-156.47,84.22,64,40,21.85
74,Aklavik,CA,2022-05-04 23:42:47,68.2191,-135.0107,26.6,80,100,10.36
75,Esperance,AU,2022-05-04 23:42:48,-33.8667,121.9,55.24,69,97,9.46
76,Camalu,MX,2022-05-04 23:42:49,30.85,-116.0667,65.12,64,0,8.77
77,Kungurtug,RU,2022-05-04 23:42:49,50.5994,97.5228,31.06,47,8,2.24
78,Mataura,NZ,2022-05-04 23:42:50,-46.1927,168.8643,62.22,55,25,2.55
79,Mago,RU,2022-05-04 23:42:50,53.2514,140.1822,38.62,76,100,5.26
80,Sao Lourenco Do Sul,BR,2022-05-04 23:42:51,-31.3653,-51.9783,61.97,90,10,8.19
81,Cape Town,ZA,2022-05-04 23:42:51,-33.9258,18.4232,58.26,90,100,4.0
82,Lompoc,US,2022-05-04 23:39:08,34.6391,-120.4579,86.14,61,0,17.27
83,Villa Maria,AR,2022-05-04 23:40:22,-32.4075,-63.2402,53.82,72,94,9.73
84,Kodiak,US,2022-05-04 23:42:52,57.79,-152.4072,44.11,81,100,3.44
85,Suarez,CO,2022-05-04 23:42:53,2.954,-76.6964,68.88,97,99,3.78
86,Mount Isa,AU,2022-05-04 23:42:53,-20.7333,139.5,69.57,43,9,20.71
87,Caravelas,BR,2022-05-04 23:42:54,-17.7125,-39.2481,78.67,84,0,10.87
88,Rocha,UY,2022-05-04 23:42:54,-34.4833,-54.3333,52.75,93,9,3.47
89,Leningradskiy,RU,2022-05-04 23:42:55,69.3833,178.4167,21.09,87,56,10.4
90,Chingola,ZM,2022-05-04 23:42:56,-12.529,27.8838,60.26,76,90,5.06
91,Harper,LR,2022-05-04 23:42:56,4.375,-7.7169,80.94,81,33,5.46
92,Atar,MR,2022-05-04 23:42:57,20.5169,-13.0499,82.58,19,66,9.01
93,Broome,US,2022-05-04 23:42:57,42.2506,-75.833,57.45,86,100,8.05
94,Port Alfred,ZA,2022-05-04 23:43:58,-33.5906,26.891,64.85,84,65,4.65
95,Indiana,US,2022-05-04 23:43:58,40.0003,-86.2503,58.95,78,100,1.99
96,Upernavik,GL,2022-05-04 23:43:59,72.7868,-56.1549,6.01,94,39,6.33
97,Barrow,US,2022-05-04 23:44:00,71.2906,-156.7887,15.82,79,100,17.27
98,Rio Grande,BR,2022-05-04 23:44:00,-32.035,-52.0986,55.94,86,0,8.7
99,Bethel,US,2022-05-04 23:44:01,41.3712,-73.414,61.02,83,100,5.75
100,Turukhansk,RU,2022-05-04 23:44:01,65.8167,87.9833,34.97,84,100,26.96
101,Pochutla,MX,2022-05-04 23:44:02,15.7432,-96.4661,89.82,46,56,8.48
102,Udarnyy,RU,2022-05-04 23:44:02,54.3409,42.8611,33.71,83,29,7.02
103,Avera,US,2022-05-04 23:44:03,33.194,-82.5271,83.71,74,67,5.1
104,Tatishchevo,RU,2022-05-04 23:44:04,51.6703,45.5953,51.48,87,92,11.92
105,Qaanaaq,GL,2022-05-04 23:44:04,77.484,-69.3632,17.98,84,40,3.02
106,Poienari,RO,2022-05-04 23:44:05,45.2167,25.05,48.38,89,65,6.13
107,Tolaga Bay,NZ,2022-05-04 23:44:05,-38.3667,178.3,62.24,77,54,7.16
108,Sorland,NO,2022-05-04 23:44:06,67.667,12.6934,35.26,93,100,22.26
