City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
183,Sao Joao Da Barra,BR,80.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
186,Lucapa,AO,74.37,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
188,Bubaque,GW,77.41,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
190,Chuy,UY,68.76,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
193,Beyneu,KZ,65.28,light rain,45.3167,55.2,NUR
194,Dolores,AR,73.69,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
197,Coquimbo,CL,62.33,overcast clouds,-29.9533,-71.3436,Hotel San Juan
199,Koforidua,GH,79.48,light rain,6.0941,-0.2591,Ajaria Royal Palace Hotel
205,Cap Malheureux,MU,74.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
207,Buraydah,SA,84.65,clear sky,26.326,43.975,Mövenpick Qassim
208,Emerald,AU,62.74,overcast clouds,-23.5333,148.1667,The Irish Village
210,Khandbari,NP,70.03,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
213,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
214,Jamtara,IN,84.65,scattered clouds,23.95,86.8,SM LODGE AND ROOMS
217,Arys,KZ,74.59,scattered clouds,42.4252,68.795,Gostinitsa
218,Port Blair,IN,82.44,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
220,Faanui,PF,81.32,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
226,Ampanihy,MG,70.48,scattered clouds,-24.7,44.75,Angora Hotel
230,Jablanica,BA,69.93,broken clouds,43.6603,17.7617,Motel Maksumić
233,North Platte,US,71.11,broken clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
234,Richards Bay,ZA,67.66,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
236,Dingle,PH,78.53,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
238,Cairns,AU,75.15,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
240,Josanicka Banja,RS,65.5,overcast clouds,43.3895,20.7503,Apartmani Radoičić
242,Kankon,IN,85.8,broken clouds,15.0167,74.0167,Palolem Beach Resort
243,Kapit,MY,74.48,light rain,2.0167,112.9333,Hotel Meligai Kapit
245,Killybegs,IE,62.31,overcast clouds,54.6333,-8.45,Tara Hotel
248,Santa Cruz De Tenerife,ES,76.6,few clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
251,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
253,Pasni,PK,82.11,clear sky,25.2631,63.471,Kashmiri Hotal
256,Rio Claro,BR,78.53,scattered clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
259,Grand-Santi,GF,83.08,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
264,Ocos,GT,86.41,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
266,Jalu,LY,79.66,clear sky,29.0331,21.5482,صاحبة الفخامة
267,Tutoia,BR,81.77,overcast clouds,-2.7619,-42.2744,Pousada Guará's
269,Gemena,CD,81.07,broken clouds,3.25,19.7667,Hôtel Goshen
272,Guilin,CN,68.11,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
276,Kupang,ID,79.47,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
280,Alyangula,AU,76.87,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
281,Pascagoula,US,86.41,clear sky,30.3658,-88.5561,Regency Inn
282,Umm Lajj,SA,81.39,broken clouds,25.0213,37.2685,Moon light Furnished Units
283,San Nicolas,PH,81.7,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
287,Bengkulu,ID,77.95,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
288,Lujan,AR,74.95,broken clouds,-34.5703,-59.105,Hotel Biarritz
292,Mantua,IT,70.84,overcast clouds,45.1667,10.7833,Hotel la Favorita
295,Nador,MA,75.27,clear sky,35.174,-2.9287,Hôtel La Giralda
298,Bajos De Haina,DO,87.73,scattered clouds,18.4154,-70.0332,Familia García Santana
300,Sola,VU,79.93,broken clouds,-13.8833,167.55,Leumerus Bungalows
301,Yangjiang,CN,70.7,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
302,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
314,Charters Towers,AU,66.96,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
321,Axim,GH,81.91,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
324,Coruripe,BR,82.35,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
325,Barcelona,ES,74.19,few clouds,41.3888,2.159,Axel Hotel Barcelona
328,Manama,BH,80.78,clear sky,26.2154,50.5832,Al Safir Hotel
333,Muros,ES,83.68,few clouds,42.7762,-9.0603,Apartment Av. Castelao
334,Haridwar,IN,81.61,clear sky,29.9667,78.1667,Centre Point Heritage Ganga
340,Wanning,CN,75.72,light rain,18.8003,110.3967,Paradise Hotel
