City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kiruna,SE,67.8557,20.2251,32.92,60,0,11.5,clear sky
80,Lagoa,PT,39.05,-27.9833,61.93,71,93,10.18,overcast clouds
81,Touros,BR,-5.1989,-35.4608,82.45,73,92,13.02,overcast clouds
82,Cayenne,GF,4.9333,-52.3333,86.04,6,20,13.8,few clouds
83,Bandarbeyla,SO,9.4942,50.8122,83.25,83,2,9.91,clear sky
84,Hermanus,ZA,-34.4187,19.2345,55.8,78,54,5.35,broken clouds
85,Manavgat,TR,36.7867,31.4431,63.72,66,52,2.71,broken clouds
86,Sakaiminato,JP,35.55,133.2333,57.18,62,75,14.97,broken clouds
87,Andenes,NO,69.3143,16.1194,35.58,80,100,16.11,overcast clouds
88,Labuhan,ID,-6.8844,112.2051,79.99,85,100,8.23,overcast clouds
89,Te Anau,NZ,-45.4167,167.7167,47.48,93,57,1.12,light rain
90,Tambura,SS,5.6,27.4667,72.68,88,100,1.66,light rain
91,Geraldton,AU,-28.7667,114.6,57.61,94,0,3.44,clear sky
92,Kruisfontein,ZA,-34.0033,24.7314,55.89,68,50,2.57,scattered clouds
93,Burriana,ES,39.889,-0.085,72.45,69,80,3.0,broken clouds
94,Aklavik,CA,68.2191,-135.0107,41.0,65,20,6.91,few clouds
95,Puerto Ayora,EC,-0.7393,-90.3518,80.56,80,10,12.44,clear sky
96,Vaini,TO,-21.2,-175.2,73.56,88,20,6.91,few clouds
97,Grand Gaube,MU,-20.0064,57.6608,75.6,78,4,1.01,clear sky
98,Barrow,US,71.2906,-156.7887,19.42,86,100,12.66,overcast clouds
99,Kushmurun,KZ,52.4503,64.6311,52.29,30,24,8.16,few clouds
100,Grindavik,IS,63.8424,-22.4338,55.35,76,75,23.02,broken clouds
101,Alaca,TR,40.1683,34.8425,44.46,91,39,5.35,scattered clouds
102,Bathsheba,BB,13.2167,-59.5167,86.61,70,20,16.11,few clouds
103,Piacabucu,BR,-10.4056,-36.4344,82.29,68,49,11.14,scattered clouds
104,Ostrovnoy,RU,68.0531,39.5131,31.06,76,45,9.64,scattered clouds
105,Atuona,PF,-9.8,-139.0333,78.69,73,41,16.46,scattered clouds
106,Iqaluit,CA,63.7506,-68.5145,28.13,68,20,4.61,few clouds
107,Troy,US,42.6056,-83.1499,65.98,50,0,11.99,clear sky
108,Sobolevo,RU,54.4299,31.8996,47.97,85,100,5.66,overcast clouds
109,Tuatapere,NZ,-46.1333,167.6833,50.05,94,66,2.91,light rain
110,Adrar,MR,20.5022,-10.0711,102.24,9,70,3.6,broken clouds
111,Mehamn,NO,71.0357,27.8492,29.8,84,93,11.5,overcast clouds
112,Hutchinson,US,38.0608,-97.9298,83.03,66,75,12.66,broken clouds
113,Cherskiy,RU,68.75,161.3,14.41,94,93,4.52,overcast clouds
114,Vao,NC,-22.6667,167.4833,73.47,66,83,14.0,broken clouds
115,Aksarka,RU,66.5606,67.7975,35.76,100,100,10.0,overcast clouds
116,Akdepe,TM,42.0551,59.3788,75.29,49,85,8.57,light rain
117,Pizarro,CO,4.9533,-77.366,83.14,78,59,6.62,light rain
118,Weyburn,CA,49.6668,-103.8511,61.02,36,19,5.75,few clouds
119,Kannur,IN,11.8675,75.3576,82.49,81,100,7.85,moderate rain
120,College,US,64.8569,-147.8028,40.06,74,100,5.75,overcast clouds
121,Avarua,CK,-21.2078,-159.775,80.65,89,40,6.91,scattered clouds
122,Karanganom,ID,-7.6489,110.625,75.51,93,100,4.32,light rain
123,Butaritari,KI,3.0707,172.7902,81.45,80,26,16.58,scattered clouds
124,Codrington,AU,-38.2667,141.9667,46.26,85,25,5.19,scattered clouds
125,Jucurutu,BR,-6.0339,-37.0203,91.94,39,98,8.34,overcast clouds
126,Sakakah,SA,29.9697,40.2064,74.77,13,23,8.34,few clouds
127,Altay,CN,47.8667,88.1167,47.21,45,65,6.06,broken clouds
128,Aboisso,CI,5.4678,-3.2071,81.32,79,99,7.36,overcast clouds
129,Xining,CN,36.6167,101.7667,47.25,74,2,1.12,clear sky
130,Sangar,RU,63.9242,127.4739,33.01,98,100,9.6,snow
131,Sur,OM,22.5667,59.5289,89.71,42,0,5.68,clear sky
132,Youghal,IE,51.95,-7.8506,58.08,100,97,11.7,overcast clouds
133,Lebu,CL,-37.6167,-73.65,56.89,93,99,6.91,overcast clouds
134,Calama,CL,-22.4667,-68.9333,63.09,10,0,24.16,clear sky
135,Quesnel,CA,52.9999,-122.5029,43.3,52,100,0.0,overcast clouds
136,Katsuura,JP,35.1333,140.3,59.97,66,100,8.7,overcast clouds
137,Langham,CA,52.3668,-106.9679,51.64,55,97,9.98,overcast clouds
138,Ponta Do Sol,PT,32.6667,-17.1,70.72,69,19,5.23,few clouds
139,Bambous Virieux,MU,-20.3428,57.7575,75.45,83,40,5.75,scattered clouds
140,Souillac,MU,-20.5167,57.5167,75.58,83,40,5.75,scattered clouds
141,Taoudenni,ML,22.6783,-3.9836,96.66,5,21,11.99,few clouds
142,Kaitangata,NZ,-46.2817,169.8464,51.82,96,100,1.63,overcast clouds
143,Sabang,ID,5.8933,95.3214,82.33,78,100,10.8,overcast clouds
144,Kerema,PG,-7.9631,145.7785,79.36,89,100,3.47,overcast clouds
145,Talara,PE,-4.5772,-81.2719,79.56,57,0,24.16,clear sky
146,Kamaishi,JP,39.2667,141.8833,47.08,83,100,6.31,overcast clouds
147,Lukovetskiy,RU,64.2956,41.9211,32.27,93,100,3.24,overcast clouds
148,Sumbe,AO,-11.2061,13.8437,77.2,87,14,5.23,few clouds
149,Pevek,RU,69.7008,170.3133,24.4,96,100,12.12,light snow
150,Lorengau,PG,-2.0226,147.2712,83.07,76,91,12.68,overcast clouds
